months_as_customer,policy_deductable,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,injury_claim,property_claim,vehicle_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES,fraud_reported
1.0781395802224778,-0.22238259044849376,1.011330643263252,0.9538505081700629,-0.9562606642355124,-0.8238649762007128,-0.18928317351454105,1.1655049667775859,0.7496527191568344,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,Y
0.20899460156739996,1.412783515790431,-0.9019267788874382,0.9538505081700629,-0.524475295074384,-0.8238649762007128,-1.3638219361992567,-1.3726959881951921,-1.8233459324942756,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,Y
-0.6080016783683733,1.412783515790431,0.35802323082155296,0.9538505081700629,-0.6684037514614268,1.1400563019893057,0.054643724844064816,-0.7360720558613336,-0.785564512155687,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,N
0.45235519559082177,1.412783515790431,0.8533881919037205,-1.2675773539696165,-0.9562606642355124,-0.8238649762007128,-0.22412987328005615,-0.21972235178598903,0.6776066379082136,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Y
0.20899460156739996,-0.22238259044849376,1.4672099915055368,-0.6837405440482903,1.2026661815701296,-0.8238649762007128,-1.2572320310341516,-1.3996540048738246,-1.7682518703629773,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,N
0.45235519559082177,-0.22238259044849376,-0.9019267788874382,0.9538505081700629,1.0587377251830867,1.1400563019893057,-0.20978123220013817,-0.20520649665134078,0.7072726713635281,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Y
-0.5819273290087209,-0.22238259044849376,-0.9019267788874382,-1.7873345140215287,-1.6759029461707264,1.1400563019893057,2.8731267941136704,-0.05175317094220225,0.6421133478813196,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,N
-0.3385667349852991,-0.22238259044849376,-0.9019267788874382,0.9538505081700629,1.634451550731258,1.1400563019893057,0.3990111107620966,0.4106804997758774,-0.2701171808695989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,N
-1.5379868055293064,-1.0399656435679563,-0.9019267788874382,0.9538505081700629,1.3465946379571725,-0.8238649762007128,-0.9559105683558737,-0.9600309636530493,-0.835361068312822,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,N
0.0699314049825875,-1.0399656435679563,-0.9019267788874382,-0.44522184731213893,0.33909544324787283,-0.8238649762007128,-0.5602980357238491,-0.5598081006548906,-0.2664089266876846,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,N
0.2698347500732554,-1.0399656435679563,0.47648006934120174,0.9538505081700629,1.4905230943442151,-0.8238649762007128,0.09768964808381879,1.7461391721635156,1.3429733882631227,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,N
2.1124221048220204,1.412783515790431,-0.9019267788874382,-0.8617395714633288,1.3465946379571725,1.1400563019893057,2.1003499816666586,2.131846180027026,2.2054073608569063,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,N
-1.2511689625731308,-1.0399656435679563,-0.9019267788874382,0.9538505081700629,-0.3805468386873412,-0.8238649762007128,-0.5582482298552894,0.4189752741385335,0.2363243902604116,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,N
-0.7209905255935334,-0.22238259044849376,0.9933826374269418,-0.213823111672589,-0.9562606642355124,-0.8238649762007128,-1.2941285366682265,-1.302190406112615,-1.7422940910895772,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,N
-0.2081949881870374,1.412783515790431,0.5805785031918022,-1.0219386961368633,0.051238530473787215,-0.8238649762007128,-0.6627883291518347,0.20745852789080205,-0.2293263848685416,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,Y
2.3383997992723407,1.412783515790431,1.0974810712775422,0.9538505081700629,0.051238530473787215,2.1220169410843153,0.632688979777904,0.6470815691115773,0.21990212174050539,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Y
